seed,model,sampler_type,selector,int_time,logstep_jitter,mean_1st_dim,var_1st_dim,time,jitter_std,n_logprob,n_steps,miness,acceptance_prob,step_size,n_rounds,energy_jump_dist
26,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.2680191322879446,0.003325441524673298,2.4184011049999996,0.07226562500000006,12448.0,2602.0,0.6031987065446047,0.6874857636546503,0.16611751188413784,9,0.19733181594428337
26,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.40639982373342215,0.005971767748233315,2.8352182059999995,0.0830078125,24496.0,5102.0,1.1081668331364707,0.7016587411612041,0.145312266865446,10,0.20953494953523705
26,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.5381542369948696,0.0053979428651021065,3.6050998759999997,0.08496093750000008,46628.0,9611.0,2.184336073746303,0.6905926833285998,0.11413718031563862,11,0.19350156157183485
26,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.4377369219354951,0.004269259649955979,5.2665268979999995,0.09008789062499999,94252.0,19469.0,3.0683663499137372,0.6753344157329627,0.07125475352239824,12,0.19698757092202918
26,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.3015087390832967,0.002204895814528205,8.796911947,0.09362792968750008,202536.0,42444.0,2.585380395622502,0.673453227466039,0.03743413314953295,13,0.20306618477183583
26,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.20934375740604635,0.0010607801044052929,15.884345022,0.09600830078125018,419136.0,88402.0,2.709391422658083,0.7025598891260779,0.04876102005680869,14,0.15423349157792238
26,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.2773402704404687,0.0028615924663001075,29.571438258,0.09686279296874986,819568.0,172126.0,4.725615408215889,0.6865632194656764,0.04812047643310141,15,0.1700129567303985
26,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.1697641686626432,0.0006062729680386831,63.946252774,0.09492492675781208,1.913704e6,412892.0,4.840736036219435,0.6569443510466659,0.013044344690845566,16,0.20186491525159647
26,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.3269876603757176,0.007430601954745822,122.69673665799999,0.10468292236328147,3.75376e6,807370.0,10.990939500341751,0.6922418023087221,0.024763342866618635,17,0.15749544205882474
26,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.7062876717522362,0.07941171768978261,226.295256402,0.10051727294921753,6.881444e6,1.458219e6,46.37051923244193,0.6944743461343087,0.036458678387405914,18,0.15637683487481294
26,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.6832772087031924,0.1348613411743116,496.38167288200003,0.10662651062011556,1.4939148e7,3.210501e6,40.19875343823825,0.6575378756956269,0.013670684233033244,19,0.1919448628543736
26,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,1.1119632091441616,0.19470362808356312,961.844990617,0.10933780670166136,2.9395892e7,6.300399e6,44.01317945480353,0.7098155023011249,0.03499042971959333,20,0.12060379693457372
26,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,1.0877811526221728,0.22971216144774886,1812.519834498,0.1001086235046332,5.5390612e7,1.1750503e7,55.90791684747077,0.6758505858936882,0.02491154728167379,21,0.18157824380118345
26,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.8286232868375555,0.09625966850085288,3698.118155795,0.10072040557861288,1.1313432e8,2.4089278e7,220.62058596567792,0.6719482439632117,0.015714182725212404,22,0.18457940753712884
22,horseshoe_logit,SimpleRWMH,inverted,single_step,adapt,0.9763178475467377,0.0011216886896391178,0.461684394,0.0,24.0,24.0,0.0,0.4911871684244039,0.078125,2,0.1260746149787053
22,horseshoe_logit,SimpleRWMH,inverted,single_step,adapt,0.9526356950934753,0.0,0.462925374,0.0,84.0,60.0,0.0,0.0,0.040283203125,3,0.0
22,horseshoe_logit,SimpleRWMH,inverted,single_step,adapt,0.9526356950934753,0.0,0.46480957,0.12500000000000003,197.0,113.0,0.0,0.0,0.02454757690429687,4,0.0
22,horseshoe_logit,SimpleRWMH,inverted,single_step,adapt,0.9337400940024297,7.82627412957807e-5,0.468183322,0.15625000000000003,411.0,214.0,0.0,0.47441116484706186,0.022629797458648678,5,0.2361512038288787
22,horseshoe_logit,SimpleRWMH,inverted,single_step,adapt,0.9067535119440144,0.00022177753253266978,0.476447346,0.12500000000000003,963.0,552.0,0.0,0.6533697767400858,0.40349105664063256,6,0.20045025235102187
22,horseshoe_logit,SimpleRWMH,inverted,single_step,adapt,0.9084083193973771,0.0011302700851794241,0.490968058,0.328125,2066.0,1103.0,0.0,0.4681052806310713,0.26609624432385465,7,0.2756099928051175
22,horseshoe_logit,SimpleRWMH,inverted,single_step,adapt,0.6841713184121497,0.006957987475139444,0.517841712,0.2734374999999999,4158.0,2092.0,1.103464486935028,0.5434266316495453,0.24756500562918193,8,0.26315536879538276
22,horseshoe_logit,SimpleRWMH,inverted,single_step,adapt,0.5744579550515743,0.0009382483952425715,0.570284748,0.3613281249999999,8147.0,3989.0,1.1207858820115908,0.3825661052506648,0.13544377558646137,9,0.1420356544788702
22,horseshoe_logit,SimpleRWMH,inverted,single_step,adapt,0.5107841824278758,0.001736628614938335,0.66591861,0.2890625000000003,15505.0,7358.0,1.1613882571707173,0.44710276706284585,0.10742334850209193,10,0.1641187224600706
22,horseshoe_logit,SimpleRWMH,inverted,single_step,adapt,0.5695150763160515,0.004296376779991696,0.853117237,0.3081054687500001,29452.0,13947.0,2.206285205091837,0.40989581646620443,0.10147241364587795,11,0.17423362841101306
22,horseshoe_logit,SimpleRWMH,inverted,single_step,adapt,0.5662314761569881,0.004828805882483531,1.229305617,0.32250976562499856,56819.0,27367.0,4.279964244922749,0.40542617283472776,0.07213009273981671,12,0.18815400663319035
22,horseshoe_logit,SimpleRWMH,inverted,single_step,adapt,0.5887749048242246,0.00354147418297213,2.01215104,0.35021972656249994,111980.0,55161.0,8.499270142736286,0.3905499553206835,0.04950372814198408,13,0.19051846919948698
22,horseshoe_logit,SimpleRWMH,inverted,single_step,adapt,0.5957898654349747,0.00504450926998993,3.464436794,0.2699584960937498,218918.0,106938.0,14.105069079687137,0.4683889198187116,0.053573621639260605,14,0.2039726301432556
22,horseshoe_logit,SimpleRWMH,inverted,single_step,adapt,0.5009518915855741,0.004794861798728967,6.467521639,0.35165405273437506,438854.0,219936.0,11.569165958264474,0.3684989601831338,0.03457391124933196,15,0.17449411228398562
22,horseshoe_logit,SimpleRWMH,inverted,single_step,adapt,0.488886994739427,0.0053708535930108185,12.461894005000001,0.3671569824218717,883907.0,445053.0,15.310769910867416,0.386268178879277,0.02290184922064597,16,0.18970867290364715
22,horseshoe_logit,SimpleRWMH,inverted,single_step,adapt,0.2590057187437958,0.014446307815847331,24.323185691,0.3515167236328106,1.765414e6,881507.0,8.618601206197683,0.3975598811311426,0.016264937437588823,17,0.1933783534439078
