dim,seed,model,nleaps,sampler,ess,ess_exact,n_leapfrog,msjd,margin1_mean,margin1_var,KS,ks_pval,mala
4,9,normal,1,AH_fix,329890.57761635224,328006.5202759222,4.815434e6,9.370106689706162,0.0008283600821527278,1.0053049760456063,1.1266135363752028,0.15788919484056063,false
64,2,normal,1,AH_unif,117966.72716395235,117033.4297545272,7.564216e6,80.71119409727369,0.0022254589964831907,1.0068321273708958,1.3330479954304337,0.0572166607185414,false
4,20,normal,1,AH_exp,228252.6472238461,227764.70628809897,4.824464e6,7.6505312882731085,0.0011268820136460598,1.0015698371761907,1.1197998258008965,0.16278965230945458,false
1024,20,normal,1,AH_unif,114927.31238396074,113609.07374080336,1.2902312e7,1240.5226783784883,-0.004771724295638602,1.0065142949101051,2.0874117826717224,0.00032835056640730386,false
32,9,normal,1,AH_exp,195665.75924777493,195611.47997462237,6.596426e6,51.46672665984927,-0.0022307915733472653,0.9983848153971977,1.1253849171850447,0.15876401754783448,false
16,11,normal,1,AH_unif,153539.86987542248,154760.4929605172,5.582398e6,22.4000163149464,-0.0030568369404367687,0.9893232071079319,1.2432443380504878,0.0908759735444515,false
128,11,normal,1,AH_exp,135263.73680443346,135506.40573445137,8.81162e6,170.13585617845683,-0.0018774806938304254,0.9972809515629723,1.4046760708793897,0.03865458943906507,false
32,14,normal,1,NUTS,588598.5957102851,588928.0660336341,3659270,89.74620742131239,-0.0006309729666437909,0.9989728786504203,0.7410704987839836,0.6422141474772974,false
1024,19,normal,1,AH_exp,103203.64635205886,103012.22535597264,1.3224948e7,1182.052413547492,0.002611412699443411,1.0004853960161257,1.5397311891233016,0.01745031195892139,false
2,2,normal,1,NUTS,203864.10020424236,204018.17016950794,1714044,3.617063843988488,-0.0004588698625410468,0.9991581454638319,0.6749015589359146,0.7525070983077453,false
128,2,normal,1,AH_exp,115036.797168452,114848.1753439257,8.793658e6,173.9913443465384,0.0017968448253539641,1.000916013094657,1.1774586545583645,0.12494088315755598,false
512,6,normal,1,AH_unif,126502.29851094722,125526.53438057732,1.1395328e7,652.335364754941,-0.003971872278176035,1.003879759435061,1.9769731412906424,0.0008057811146322335,false
2,2,normal,1,AH_fix,338418.93054311146,339567.5809647998,4.745642e6,4.490029170627719,-1.4638007322883596e-5,0.9966172493819364,0.5254104977323664,0.9453335838485599,false
512,20,normal,1,AM,91999.66800491027,92050.31441405509,1.754444e7,526.408932451748,8.317384350013343e-5,0.9994486586232602,0.622212347388654,0.8335772404014338,false
16,16,normal,1,AH_fix,1.3303657741137482e6,1.3580053185697393e6,4.795286e6,53.34794414417154,0.0002901976611397668,0.9794213004780603,2.4636591120983553,1.069124622984737e-5,false
512,10,normal,1,NUTS,691786.3741320369,690642.5945830139,7828391,1449.8862001478585,-0.0008150485098395305,1.0007586038975749,0.588138924501834,0.8795875656860053,false
1024,6,normal,1,AM,91854.6642463138,91884.09469747917,2.3383782e7,1080.0571818540614,0.0022899451604719966,0.9987384525572438,0.7977295799367994,0.5478408299100216,false
128,17,normal,1,AH_unif,145571.66073969755,145286.69970358573,8.46183e6,184.09996425150842,0.0030009204561181014,0.9994032736600351,1.0084655625042132,0.261035419788763,false
2,3,normal,1,AH_exp,291655.6808828413,291516.1732129118,4.30116e6,4.285243109833404,0.0017499987896321112,0.9987433623575698,1.1565242162413938,0.13775528249852104,false
8,13,normal,1,AH_exp,193368.99150785588,193672.3697109713,5.23809e6,13.496134955986232,0.0009241328368551291,0.9981111397507083,1.3076809265876363,0.06541873255121701,false
2,6,normal,1,AM,195903.32684822925,195530.74013895853,3.95492e6,3.3864568513878597,-0.004161146220168768,0.9952989454967224,1.2643196251892732,0.08176308748943498,false
2,1,normal,1,AH_unif,229409.83233517414,229557.8740349581,4.276798e6,3.752820442273456,-0.0017830214788525458,0.9979299022078373,1.1064952844625395,0.17270647057762492,false
512,19,normal,1,NUTS,746050.733867695,750957.6582041492,7830152,1514.0124916592918,-0.0005708943249974437,0.9929915132824321,0.7142752525687683,0.6873586184262962,false
